#separator:comma
#html:true
#columns:Italiano,English,Lemma,Notes,Tags
#tags column:5
"«Una fermata in <b>piazza</b>?»","“A stop in the <b>square</b>?”","la piazza (n., f)","square","IMv4 A1 s01e04"
"Leo guarda la <b>chiesa</b>.","Leo looks at the <b>church</b>.","la chiesa (n., f)","church","IMv4 A1 s01e04"
"«E c'è una <b>farmacia</b>.»","“And there's a <b>pharmacy</b>.”","la farmacia (n., f)","pharmacy","IMv4 A1 s01e04"
"«Che cos'è un <b>panificio</b>?»","“What's a <b>bakery</b>?”","il panificio (n., m)","bakery","IMv4 A1 s01e04"
"«Dov'è la <b>stazione</b>?» chiede.","“Where's the <b>station</b>?” he asks.","la stazione (n., f)","station","IMv4 A1 s01e04"
"«E dov'è il <b>supermercato</b>?»","“And where's the <b>supermarket</b>?”","il supermercato (n., m)","supermarket","IMv4 A1 s01e04"
"«E dov'è il <b>parco</b>?»","“And where's the <b>park</b>?”","il parco (n., m)","park","IMv4 A1 s01e04"
"Leo guarda la <b>strada</b>.","Leo looks at the <b>street</b>.","la strada (n., f)","street, road","IMv4 A1 s01e04"
"«E c'è un <b>negozio</b>.»","“And there's a <b>shop</b>.”","il negozio (n., m)","shop","IMv4 A1 s01e04"
"«Leo, facciamo una <b>mappa</b>.»","“Leo, let's make a <b>map</b>.”","la mappa (n., f)","map","IMv4 A1 s01e04"
"E il <b>treno</b> parte.","And the <b>train</b> leaves.","il treno (n., m)","train","IMv4 A1 s01e04"
"«Allora... <b>Avviso</b>... Comitato...» legge Ben.","“So... <b>Notice</b>... Committee...” reads Ben.","l'avviso (n., m)","notice","IMv4 A1 s01e04"
"«Perché è sul nostro <b>cancello</b>?»","“Why is it on our <b>gate</b>?”","il cancello (n., m)","gate","IMv4 A1 s01e04"
"Poi arriva un <b>vicino</b>.","Then <b>a neighbour</b> arrives.","il vicino (n., m)","neighbour","IMv4 A1 s01e04"
"Davanti alla chiesa c'è una <b>fontana</b>.","In front of the church there's a <b>fountain</b>.","la fontana (n., f)","fountain","IMv4 A1 s01e04"
"«E dov'è il <b>bar</b>?»","“And where's the <b>bar</b>?”","il bar (n., m)","bar, café","IMv4 A1 s01e04"
"«Perfetto!» dice Ben. «Allora, <b>camminiamo</b>!»","“Perfect!” says Ben. “So, let's <b>walk</b>!”","camminare (v.)","to walk","IMv4 A1 s01e04"
"Leo <b>guarda</b> la strada.","Leo <b>looks at</b> the street.","guardare (v.)","to look at, to watch","IMv4 A1 s01e04"
"«Adesso <b>cerchiamo</b> il parco.»","“Now let's <b>look for</b> the park.”","cercare (v.)","to look for","IMv4 A1 s01e04"
"«Con un <b>pane</b> buono.»","“With a good <b>bread</b>.”","il pane (n., m)","bread","IMv4 A1 s01e04"
"«Dov'è la <b>fermata</b> dell'autobus?»","“Where's the bus <b>stop</b>?”","la fermata (n., f)","stop (bus, tram)","IMv4 A1 s01e04"
"Chiara guarda il <b>giornale</b>.","Chiara looks at the <b>newspaper</b>.","il giornale (n., m)","newspaper","IMv4 A1 s01e04"
"«Primo: <b>l'ufficio</b> alle nove.»","“First: the <b>office</b> at nine.”","l'ufficio (n., m)","office","IMv4 A1 s01e04"
"«E c'è una <b>banca</b>.»","“And there's a <b>bank</b>.”","la banca (n., f)","bank","IMv4 A1 s01e04"
