#separator:comma
#html:true
#columns:Italiano,English,Lemma,Notes,Tags
#tags column:5
"_Caro Dave, grazie per l'<b>offerta</b>._","_Dear Dave, thank you for the <b>offer</b>._","l'offerta (n., f)","offer","IMv4 B1 s05e03"
"«C'è un'offerta. Una <b>proposta</b> di lavoro vera.»","“There's an offer. A real job <b>proposal</b>.”","la proposta (n., f)","proposal","IMv4 B1 s05e03"
"_La promozione. Il direttore. Lo <b>stipendio</b> doppio._","_The promotion. The director. Double the <b>salary</b>._","lo stipendio (n., m)","salary, pay","IMv4 B1 s05e03"
"«E il <b>trasferimento</b> sarebbe a marzo. Vogliono la risposta entro venerdì prossimo.»","“And the <b>move</b> would be in March. They want the answer by next Friday.”","il trasferimento (n., m)","move, relocation","IMv4 B1 s05e03"
"«Lo stipendio doppio.» «E il <b>contratto</b>?»","“Double the salary.” “And the <b>contract</b>?”","il contratto (n., m)","contract","IMv4 B1 s05e03"
"«Ornella, tu sei la mia <b>sede</b> italiana.»","“Ornella, you're my Italian <b>office</b>.”","la sede (n., f)","office, headquarters","IMv4 B1 s05e03"
"_La <b>promozione</b>. Il direttore. Lo stipendio doppio._","_The <b>promotion</b>. The director. Double the salary._","la promozione (n., f)","promotion","IMv4 B1 s05e03"
"La prima: «<b>Vogliamo che</b> tu torni a Chicago.»","The first: “<b>We want</b> you to come back to Chicago.”","vogliono che (expr.)","they want (someone) to","IMv4 B1 s05e03"
"«Leo, ascoltami. <b>Spero che</b> tuo papà prenda la decisione giusta.»","“Leo, listen to me. <b>I hope</b> your dad makes the right decision.”","spero che (expr.)","I hope (that)","IMv4 B1 s05e03"
"«E io <b>preferisco che</b> sia così.» «Vuol dire che si fida di me.»","“And <b>I prefer</b> it to be that way.” “It means he trusts me.”","preferisco che (expr.)","I prefer (that)","IMv4 B1 s05e03"
"«Posso <b>chiedere</b> una cosa?» dice dopo un momento.","“Can I <b>ask</b> you something?” he says after a moment.","chiedere (v.)","to ask","IMv4 B1 s05e03"
"_Potrei <b>trasferirmi</b> a marzo con un contratto firmato e una casa pronta._","_I could <b>move</b> in March with a signed contract and a house ready._","trasferirsi (v.)","to move (house or country)","IMv4 B1 s05e03"
"La prima: «Vogliamo che tu <b>torni</b> a Chicago.»","The first: “We want you to <b>come back</b> to Chicago.”","tornare (v.)","to come back, to return","IMv4 B1 s05e03"
"_Vogliono che io <b>accetti</b> entro venerdì prossimo. E non ho ancora risposto._","_They want me to <b>accept</b> by next Friday. And I still haven't replied._","accettare (v.)","to accept","IMv4 B1 s05e03"
"_Perfetto. Non ho accettato e non ho <b>rifiutato</b>. Ho solo chiesto tempo._","_Perfect. I haven't accepted and I haven't <b>refused</b>. I've only asked for time._","rifiutare (v.)","to refuse","IMv4 B1 s05e03"
"«Però una volta ho <b>deciso</b> una cosa importante.»","“But once I <b>decided</b> something important.”","decidere (v.)","to decide","IMv4 B1 s05e03"
"Ti rispondo venerdì con una <b>decisione</b> chiara.","I'll reply on Friday with a clear <b>decision</b>.","la decisione (n., f)","decision","IMv4 B1 s05e03"
"Sullo schermo ci sono una firma e un nome: Dave Miller, il suo vecchio <b>capo</b>.","On the screen there's a signature and a name: Dave Miller, his old <b>boss</b>.","il capo (n., m)","boss","IMv4 B1 s05e03"
"«Tre giorni fa ho ricevuto un'email dall'<b>azienda</b> dove lavoravo a Chicago.»","“Three days ago I received an email from the <b>company</b> where I used to work in Chicago.”","l'azienda (n., f)","company","IMv4 B1 s05e03"
"«Matteo, la mia <b>carriera</b> va avanti.» «E va avanti bene.»","“Matteo, my <b>career</b> is moving forward.” “And it's moving forward well.”","la carriera (n., f)","career","IMv4 B1 s05e03"
"«<b>Futuro</b>.» «Che cos'è il futuro, papà?»","“<b>Future</b>.” “What's the future, Dad?”","il futuro (n., m)","future","IMv4 B1 s05e03"
"«Avevo una paura enorme.» «Però la <b>scelta</b> era mia, e questo cambia tutto.»","“I was enormously scared.” “But the <b>choice</b> was mine, and that changes everything.”","la scelta (n., f)","choice","IMv4 B1 s05e03"
"«Bravo. <b>Scegliere</b> è importante.»","“Good. <b>Choosing</b> is important.”","scegliere (v.)","to choose","IMv4 B1 s05e03"
"«È un'<b>email</b> di lavoro.»","“It's a work <b>email</b>.”","l'email (n., f)","email","IMv4 B1 s05e03"
"Ti <b>rispondo</b> venerdì con una decisione chiara.","I'll <b>reply</b> on Friday with a clear decision.","rispondere (v.)","to reply, to answer","IMv4 B1 s05e03"
"_La promozione. Il <b>direttore</b>. Lo stipendio doppio._","_The promotion. The <b>director</b>. Double the salary._","il direttore (n., m)","director, manager","IMv4 B1 s05e03"
"_Il doppio. In dollari, questo vuol dire <b>guadagnare</b> molto bene._","_Double. In dollars, that means <b>earning</b> very well._","guadagnare (v.)","to earn","IMv4 B1 s05e03"
"«Tu cosa avresti fatto? Al mio <b>posto</b>, intendo.»","“What would you have done? In my <b>place</b>, I mean.”","il posto (n., m)","place, job, position","IMv4 B1 s05e03"
"«Un'altra. Tu non sei mai andato all'<b>estero</b>?»","“Another one. Have you never gone <b>abroad</b>?”","l'estero (n., m)","abroad","IMv4 B1 s05e03"
"_E adesso anche Matteo ha capito che c'è qualcosa. Sono un <b>segreto</b> con le gambe._","_And now Matteo has understood there's something too. I'm a <b>secret</b> with legs._","il segreto (n., m)","secret","IMv4 B1 s05e03"
"«Mamma, posso <b>raccontare</b> una cosa strana?»","“Mum, can I <b>tell</b> you something strange?”","raccontare (v.)","to tell","IMv4 B1 s05e03"
"«Come si guarda una <b>notizia</b> importante.»","“The way you look at <b>important news</b>.”","la notizia (n., f)","news","IMv4 B1 s05e03"
"«Prego. <b>Comunque</b> non decidi da solo.» «Questo è il punto.»","“You're welcome. <b>Anyway</b>, you don't decide alone.” “That's the point.”","comunque (adv.)","anyway, in any case","IMv4 B1 s05e03"
"_Adesso aspetto. <b>Almeno</b> una settimana ho comprato._","_Now I wait. <b>At least</b> I've bought a week._","almeno (adv.)","at least","IMv4 B1 s05e03"
"A volte Ben <b>invece</b> ha troppi dubbi.","Sometimes Ben <b>instead</b> has too many doubts.","invece (adv.)","instead","IMv4 B1 s05e03"
