#separator:comma
#html:true
#columns:Italiano,English,Lemma,Notes,Tags
#tags column:5
"Ornella entra in <b>casa</b>.","Ornella comes into the <b>house</b>.","la casa (n., f)","house","IMv4 A1 s01e03"
"Chiara arriva dalla <b>cucina</b>.","Chiara comes from the <b>kitchen</b>.","la cucina (n., f)","kitchen","IMv4 A1 s01e03"
"«Il <b>bagno</b>. Al piano di sopra.»","“The <b>bathroom</b>. On the floor above.”","il bagno (n., m)","bathroom","IMv4 A1 s01e03"
"«La <b>camera</b> grande è mia.»","“The <b>big</b> bedroom is mine.”","la camera (n., f)","bedroom, room","IMv4 A1 s01e03"
"Emma si alza dal <b>letto</b>.","Emma gets up from the <b>bed</b>.","il letto (n., m)","bed","IMv4 A1 s01e03"
"Chiara indica il <b>tavolo</b>.","Chiara points at the <b>table</b>.","il tavolo (n., m)","table","IMv4 A1 s01e03"
"Poi Leo vede una <b>sedia</b>.","Then Leo sees a <b>chair</b>.","la sedia (n., f)","chair","IMv4 A1 s01e03"
"Emma guarda la <b>finestra</b>.","Emma looks at the <b>window</b>.","la finestra (n., f)","window","IMv4 A1 s01e03"
"Leo apre una <b>scatola</b>.","Leo opens a <b>box</b>.","la scatola (n., f)","box","IMv4 A1 s01e03"
"«Il <b>giardino</b> ha un tavolo?»","“Does the <b>garden</b> have a table?” asks Leo.","il giardino (n., m)","garden","IMv4 A1 s01e03"
"«Il <b>muro</b> è vecchio»","“The <b>wall</b> is old,” he says.","il muro (n., m)","wall","IMv4 A1 s01e03"
"Ornella cammina piano nel <b>salotto</b>.","Ornella walks slowly in the <b>living room</b>.","il salotto (n., m)","living room","IMv4 A1 s01e03"
"Ben apre la <b>porta</b>.","Ben opens the <b>door</b>.","la porta (n., f)","door","IMv4 A1 s01e03"
"«Leo, e la scatola nell'<b>armadio</b>?»","“Leo, and the box in the <b>wardrobe</b>?”","l'armadio (n., m)","wardrobe","IMv4 A1 s01e03"
"Chiara si alza dal <b>divano</b>.","Chiara gets up from the <b>divano</b>.","il divano (n., m)","sofa","IMv4 A1 s01e03"
"«La <b>chiave</b>? Quale chiave?»","“The <b>key</b>? Which key?” asks Ben.","la chiave (n., f)","key","IMv4 A1 s01e03"
"«Il bagno. Al <b>piano</b> di sopra.»","“The bathroom. On the <b>floor</b> above.”","il piano (n., m)","floor, storey","IMv4 A1 s01e03"
"«Io voglio la finestra <b>grande</b>!»","“I want the big <b>window</b>!”","grande (adj.)","big","IMv4 A1 s01e03"
"Ben guarda la cucina <b>piccola</b>.","Ben looks at the small <b>kitchen</b>.","piccolo (adj.)","small","IMv4 A1 s01e03"
"Leo prende un <b>nuovo</b> post-it.","Leo takes a <b>new</b> sticky note.","nuovo (adj.)","new","IMv4 A1 s01e03"
"«Un <b>caffè</b>, Signora Galli?»","“A <b>coffee</b>, Mrs Galli?” asks Ben.","il caffè (n., m)","coffee","IMv4 A1 s01e03"
"«CAFFÈ! <b>La macchina del caffè</b>!»","“COFFEE! <b>The coffee maker</b>!”","la macchina del caffè (n., f)","coffee maker","IMv4 A1 s01e03"
"Tutte hanno un'<b>etichetta</b> in inglese.","They all have a <b>label</b> in English.","l'etichetta (n., f)","label","IMv4 A1 s01e03"
"Sopra c'è un <b>post-it</b>.","On top there's a <b>sticky note</b>.","il post-it (n., m)","sticky note","IMv4 A1 s01e03"
"«Cinque. E un <b>gatto</b>.»","“Five. And a <b>cat</b>.”","il gatto (n., m)","cat","IMv4 A1 s01e03"
"«Un <b>ospite</b>? Ma è un gatto!»","“A <b>guest</b>? But he's a cat!”","l'ospite (n., m/f)","guest","IMv4 A1 s01e03"
"«Leo, quante <b>cose</b> etichetti?»","“Leo, how many <b>things</b> do you label?”","la cosa (n., f)","thing","IMv4 A1 s01e03"
