#separator:comma
#html:true
#columns:Italiano,English,Lemma,Notes,Tags
#tags column:5
"«La <b>famiglia</b> è complicata.»","“<b>Family</b> is complicated.”","la famiglia (n., f)","family","IMv4 A1 s01e05"
"Chiara guarda suo <b>padre</b>.","Chiara looks at her <b>father</b>.","il padre (n., m)","father","IMv4 A1 s01e05"
"«Lei ha una <b>madre</b>?»","“You have a <b>mother</b>?”","la madre (n., f)","mother","IMv4 A1 s01e05"
"«E <b>fratelli</b>? E sorelle?»","“And <b>brothers</b>? And sisters?”","il fratello (n., m)","brother","IMv4 A1 s01e05"
"«E fratelli? E <b>sorelle</b>?»","“And brothers? And <b>sisters</b>?”","la sorella (n., f)","sister","IMv4 A1 s01e05"
"«Mio <b>nonno</b> Franco ha settantuno anni.»","“My <b>grandfather</b> Franco is seventy-one years old.”","il nonno (n., m)","grandfather","IMv4 A1 s01e05"
"«La mia <b>nonna</b> è lontana.»","“My <b>grandmother</b> is far away.”","la nonna (n., f)","grandmother","IMv4 A1 s01e05"
"«Tu sei un <b>nipote</b>.»","“You're a <b>grandchild</b>.”","il nipote (n., m)","grandchild — *Nipote* means both ""grandchild"" and ""nephew/niece""; in this chapter it is always a grandchild.","IMv4 A1 s01e05"
"«E i tuoi <b>genitori</b>? Sono in America?»","“And your <b>parents</b>? Are they in America?”","i genitori (n., m)","parents","IMv4 A1 s01e05"
"«I <b>parenti</b> sono tutti, Ben.»","“<b>Relatives</b> are everybody, Ben.”","i parenti (n., m)","relatives — False friend: *parenti* are relatives, not parents.","IMv4 A1 s01e05"
"«Io ho un <b>figlio</b> e una figlia.»","“I have one <b>son</b> and one daughter.”","il figlio (n., m)","son","IMv4 A1 s01e05"
"«No. Solo io. Sono <b>figlia</b> unica.»","“No. Only me. I'm an only <b>daughter</b>.”","la figlia (n., f)","daughter","IMv4 A1 s01e05"
"«E <b>zii</b>? E zie?»","“And <b>uncles</b>? And aunts?”","lo zio (n., m)","uncle","IMv4 A1 s01e05"
"«E zii? E <b>zie</b>?»","“And uncles? And <b>aunts</b>?”","la zia (n., f)","aunt","IMv4 A1 s01e05"
"«E gli zii, i <b>cugini</b>, i parenti...»","“And the uncles, the <b>cousins</b>, the relatives...”","il cugino (n., m)","cousin","IMv4 A1 s01e05"
"«Emma! Quanti <b>anni</b> hai?»","“Emma! How many <b>years</b> do you have?”","l'anno (n., m)","year","IMv4 A1 s01e05"
"«Io <b>ho fame</b>, mamma.»","“<b>I'm hungry</b>, mum.”","avere fame (expr.)","to be hungry","IMv4 A1 s01e05"
"«E <b>ho sete</b> anch'io.»","“And <b>I'm thirsty</b> too.”","avere sete (expr.)","to be thirsty","IMv4 A1 s01e05"
"«<b>Hai paura</b>? Di cosa?»","“<b>You're scared</b>? Of what?”","avere paura (expr.)","to be afraid","IMv4 A1 s01e05"
"«E <b>ho sonno</b> anch'io.»","“And <b>I'm sleepy</b> too.”","avere sonno (expr.)","to be sleepy","IMv4 A1 s01e05"
"«<b>Hai ragione</b> tu? Mai.»","“<b>You're right</b>? Never.”","avere ragione (expr.)","to be right","IMv4 A1 s01e05"
"«È Gino. Mio <b>marito</b>.»","“That's Gino. My <b>husband</b>.”","il marito (n., m)","husband","IMv4 A1 s01e05"
"«Mia <b>moglie</b>.»","“My <b>wife</b>.”","la moglie (n., f)","wife","IMv4 A1 s01e05"
"Poi guarda un'altra <b>foto</b>.","Then he looks at another <b>photo</b>.","la foto (n., f)","photo","IMv4 A1 s01e05"
