#separator:comma
#html:true
#columns:Italiano,English,Lemma,Notes,Tags
#tags column:5
"«Sì! <b>Caffè</b>!» risponde Ben.","""Yes! <b>Coffee</b>!"" answers Ben.","il caffè (n., m)","coffee","IMv4 A1 s01e02"
"«Un <b>cappuccino</b>? Adesso?» chiede.","""A <b>cappuccino</b>? Now?"" he asks.","il cappuccino (n., m)","cappuccino","IMv4 A1 s01e02"
"«E il <b>cornetto</b>?» chiede.","""And the <b>cornetto</b>?"" asks Ben.","il cornetto (n., m)","croissant","IMv4 A1 s01e02"
"«Caffè. Cornetto. <b>Brioche</b>. Latte.»","""Caffè. Cornetto. <b>Brioche</b>. Latte.""","la brioche (n., f)","brioche","IMv4 A1 s01e02"
"«<b>Acqua</b> nera» dice Franco.","""Black <b>water</b>,"" says Franco.","l'acqua (n., f)","water","IMv4 A1 s01e02"
"Ben guarda il <b>bicchiere</b>.","Ben looks at the <b>glass</b>.","il bicchiere (n., m)","glass","IMv4 A1 s01e02"
"«Il <b>conto</b>, per favore» dice.","""The <b>conto</b>, per favore,"" says Ben.","il conto (n., m)","bill","IMv4 A1 s01e02"
"«Ecco il <b>latte</b>» dice.","""Here's the <b>latte</b>,"" he says.","il latte (n., m)","milk","IMv4 A1 s01e02"
"La <b>tazza</b> è piccola.","The <b>cup</b> is small.","la tazza (n., f)","cup","IMv4 A1 s01e02"
"Franco guarda il <b>tavolo</b>.","Franco looks at the <b>table</b>.","il tavolo (n., m)","table","IMv4 A1 s01e02"
"Ben mostra il <b>quaderno</b>.","Ben shows the <b>notebook</b>.","il quaderno (n., m)","notebook","IMv4 A1 s01e02"
"«Nuova <b>parola</b>: pasta» dice.","""New <b>word</b>: pasta,"" says Ben.","la parola (n., f)","word","IMv4 A1 s01e02"
"«Un <b>problema</b>?» chiede Matteo.","""A <b>problem</b>?"" asks Matteo.","il problema (n., m)","problem","IMv4 A1 s01e02"
"La parola è <b>domenica</b>.","The word is <b>Sunday</b>.","la domenica (n., f)","Sunday","IMv4 A1 s01e02"
"«<b>Pranzo</b> importante. Quattro piatti.»","""An important <b>lunch</b>. Four dishes.""","il pranzo (n., m)","lunch","IMv4 A1 s01e02"
"«Uno: <b>pasta</b>» dice Leo.","""One: <b>pasta</b>,"" says Leo.","la pasta (n., f)","pasta","IMv4 A1 s01e02"
"«Pranzo importante. Quattro <b>piatti</b>.»","""An important lunch. Four <b>dishes</b>.""","il piatto (n., m)","plate","IMv4 A1 s01e02"
"Nel sacchetto c'è <b>pane</b> fresco.","In the bag there's fresh <b>bread</b>.","il pane (n., m)","bread","IMv4 A1 s01e02"
"«Numero due: <b>carne</b>» dice.","""Number two: <b>meat</b>,"" says Ben.","la carne (n., f)","meat","IMv4 A1 s01e02"
"«La <b>frutta</b>!» dice Leo.","""The <b>fruit</b>!"" says Leo.","la frutta (n., f)","fruit","IMv4 A1 s01e02"
"«Carne, frutta, <b>dolce</b>» dice Franco.","""Carne, frutta, <b>dolce</b>,"" says Franco.","il dolce (n., m)","dessert","IMv4 A1 s01e02"
"«<b>Numero</b> due: carne» dice.","""<b>Number</b> two: meat,"" says Ben.","il numero (n., m)","number","IMv4 A1 s01e02"
"«<b>Scontrino</b>» ripete Ben. «Numero sette.»","""<b>Scontrino</b>,"" repeats Ben. ""Number seven.""","lo scontrino (n., m)","receipt","IMv4 A1 s01e02"
"«Perché è <b>vino</b>» dice Franco.","""Because it's <b>wine</b>,"" says Franco.","il vino (n., m)","wine","IMv4 A1 s01e02"
"«L'<b>americano</b>» dice Ben, piano.","""The <b>americano</b>,"" says Ben, quietly.","l'americano (n., m)","the American","IMv4 A1 s01e02"
"«<b>Vorrei</b> anche il pane» dice Ben.","""<b>I would like</b> some bread too,"" says Ben.","vorrei (expr.)","I would like — fixed polite phrase","IMv4 A1 s01e02"
"«<b>Per favore</b>» dice Ben. «Grazie.»","""<b>Please</b>,"" says Ben. ""Grazie.""","per favore (expr.)","please","IMv4 A1 s01e02"
"«Ah. <b>Grazie</b>» dice Ben.","""Ah. <b>Thanks</b>,"" says Ben.","grazie (interj.)","thank you","IMv4 A1 s01e02"
